canonical_id,canonical_label,card_type,merge_key,merged_from_ids,merged_labels,normalization_rule,record_count
SCIENCE-REF-0493,Adversarial Examples,topic_l3,Science › AI science and research › Adversarial ML and information harms › adversarial example,SCIENCE-REF-0492; SCIENCE-REF-0493,adversarial example; Adversarial Examples,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0685,Deepfake,topic_l3,Science › AI science and research › Adversarial ML and information harms › deepfake,SCIENCE-REF-0685; SCIENCE-REF-0686,Deepfake; Deepfakes,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0705,Digital Twin,topic_l3,Science › AI science and research › Computing systems and infrastructure › digital twin,SCIENCE-REF-0705; SCIENCE-REF-0706,Digital Twin; Digital Twins,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0785,Foundation Models,topic_l3,Science › AI science and research › Language models and generative NLP › foundation model,SCIENCE-REF-0784; SCIENCE-REF-0785,foundation model; Foundation Models,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0900,Large Language Models,topic_l3,Science › AI science and research › Language models and generative NLP › large language model,SCIENCE-REF-0899; SCIENCE-REF-0900,large language model; Large Language Models,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0800,Generative Adversarial Networks,topic_l3,Science › AI science and research › Neural networks and deep learning › generative adversarial network,SCIENCE-REF-0799; SCIENCE-REF-0800,generative adversarial network; Generative Adversarial Networks,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-1295,Transformer Architectures,topic_l3,Science › AI science and research › Neural networks and deep learning › transformer architecture,SCIENCE-REF-1294; SCIENCE-REF-1295,transformer architecture; Transformer Architectures,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
SCIENCE-REF-0922,Loss Function,topic_l3,Science › AI science and research › Statistical modeling and data mining › loss function,SCIENCE-REF-0922; SCIENCE-REF-0923,Loss Function; Loss Functions,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-1277,Misuse risks,risk_l4,"Malicious use and weaponization › Malicious use › Misuse, misuse risks, risks › misuse risk",RISK-REF-0216; RISK-REF-1277,Misuse risks,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0378,Pollution of information ecosystem,risk_l4,Misinformation and information-ecosystem harms › Pollution of information ecosystem and loss of consensus reality › Misinformation harms › pollution of information ecosystem,RISK-REF-0378; RISK-REF-0421,Pollution of information ecosystem; Pollution of information ecosystems,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0411,Factual hallucination,risk_l4,Misinformation and information-ecosystem harms › False or misleading information › Hallucinations › factual hallucination,RISK-REF-0393; RISK-REF-0411,Factual hallucination,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0523,Unsafe advanced AI,risk_l4,"AI system safety, robustness, and control › Misaligned goal pursuit › AI pursuing its own goals in conflict with human goals or values › unsafe advanced ai",RISK-REF-0523; RISK-REF-0890,Unsafe advanced AI,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0540,Lack of transparency,risk_l4,"AI system safety, robustness, and control › Lack of transparency or interpretability › Transparency, lack, lack transparency › lack of transparency",RISK-REF-0540; RISK-REF-0579; RISK-REF-0884,Lack of transparency,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,3
RISK-REF-0543,Mass manipulation,risk_l4,"Malicious use and weaponization › Disinformation and influence operations › Disinformation, surveillance, and influence at scale › mass manipulation",RISK-REF-0543; RISK-REF-0908,Mass manipulation,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0580,Environmental impacts,risk_l4,"Socioeconomic and environmental harms › Environmental harm › Environmental, environmental impacts, impacts › environmental impact",RISK-REF-0580; RISK-REF-0993; RISK-REF-1048,Environmental impacts,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,3
RISK-REF-0619,AI system security vulnerability,risk_l4,"Privacy and security harms › AI system security vulnerabilities and attacks › Security, ai, ai security › ai system security vulnerability",RISK-REF-0602; RISK-REF-0619; RISK-REF-1001,AI system security vulnerability,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,3
RISK-REF-0615,Privacy violation,risk_l4,"Privacy and security harms › Privacy and security › Privacy, privacy violation, violation › privacy violation",RISK-REF-0615; RISK-REF-0711,Privacy violation,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
RISK-REF-0996,Intellectual property,risk_l4,"Socioeconomic and environmental harms › Economic and cultural devaluation of human effort › Intellectual, property, intellectual property › intellectual property",RISK-REF-0712; RISK-REF-0996,Intellectual property,same hierarchy branch + punctuation/quote/hyphen/simple singular-plural normalization,2
