L3_id,L0,L1,L2,L3,Korean_label,Definition,source,review,l2_review
POLICY-REF-0035,Policy,AI policy and governance,AI cybersecurity and resilience,AI security,AI 보안,"적대적 공격, 모델 탈취, 데이터 오염 등 인공지능 시스템 자체를 표적으로 하는 새로운 유형의 사이버 위협을 방어하는 기술 및 정책이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0105,Policy,AI policy and governance,AI cybersecurity and resilience,Critical infrastructure protection,핵심 인프라 보호,"에너지, 금융, 통신 등 국가 안보와 직결된 국가 핵심 기반 시설에 도입된 인공지능 시스템의 취약점을 방어하는 정책이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0107,Policy,AI policy and governance,AI cybersecurity and resilience,Cyber-Physical Systems Security,사이버 물리 시스템 보안,자율주행차나 스마트 팩토리와 같이 연산 인공지능과 물리적 역학계가 결합된 시스템의 해킹 및 물리적 오작동을 막는 보안 영역이다.,ChatGPT_Gemini,pending,pending
POLICY-REF-0160,Policy,AI policy and governance,AI cybersecurity and resilience,Dual-use AI,이중용도 AI,상업적 목적으로 개발된 인공지능 기술이 군사적 목적이나 사이버 무기로 전용되어 안보 위협을 초래할 수 있는 이중적 속성이다.,ChatGPT_Gemini,pending,pending
POLICY-REF-0177,Policy,AI policy and governance,AI cybersecurity and resilience,Epistemic Security,인식론적 안보,대규모 허위 정보와 합성 미디어의 범람 속에서 사회 구성원들이 객관적 사실과 진실을 판별할 수 있는 인지적 기반을 수호하는 안보 개념이다.,ChatGPT_Gemini,pending,pending
POLICY-REF-0237,Policy,AI policy and governance,AI cybersecurity and resilience,Harm Reduction Models,위해 감소 모델,"인공지능 리스크를 완벽히 차단하는 것이 불가능함을 인정하고, 오작동이나 부작용이 발생했을 때의 사회적·개인적 피해 규모를 최소화하는 방어 전략이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0246,Policy,AI policy and governance,AI cybersecurity and resilience,Human-Command-In,인간 통제 개입,"시스템의 완전한 자율 작동을 금지하고, 치명적인 물리적 작동이나 정책적 최종 승인 단계에서는 오직 인간의 명시적 명령에 의해서만 실행되도록 보장하는 보안 구조이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0313,Policy,AI policy and governance,AI cybersecurity and resilience,National Security and AI,국가 안보와 인공지능,"사이버전, 첨단 첩보전, 방위 산업 전반에 인공지능을 융합하여 국가의 물리적 안전과 주권을 수호하고 외세의 디지털 위협을 방어하는 안보 영역이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0337,Policy,AI policy and governance,AI cybersecurity and resilience,Privacy-enhancing technologies,프라이버시 강화 기술,"동형 암호, 차분 프라이버시 등 데이터 본연의 민감한 정보는 외부로 노출하지 않으면서도 안전하게 인공지능 모델을 학습시킬 수 있도록 돕는 첨단 보안 기술군이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0366,Policy,AI policy and governance,AI cybersecurity and resilience,Reliability and robustness,신뢰성과 강건성,"인공지능 시스템이 예기치 못한 비정상적 입력 데이터, 적대적 공격, 물리적 충격 환경 속에서도 성능 저하나 치명적인 오작동 없이 안정적으로 원래의 기능을 유지하는 성질이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0385,Policy,AI policy and governance,AI cybersecurity and resilience,Safe-by-Design,설계 단계부터의 안전성,"사후 보완적 패치 방식을 탈피하고, 아키텍처의 설계 초기 단계부터 오작동 방지 가드레일과 안전성 검증 메커니즘을 하드웨어 및 소프트웨어 내부에 고정하여 개발하는 공학적 접근법이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0388,Policy,AI policy and governance,AI cybersecurity and resilience,Safety Engineering,안전 공학,"인공지능 시스템의 고장 모드, 시스템 간 상호 연쇄 반응, 환경적 변수 등을 정량적으로 모델링하여 파국적인 물리적 사고와 사회적 오작동 리스크를 엔지니어링 관점에서 예방하는 학문이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0391,Policy,AI policy and governance,AI cybersecurity and resilience,Sandboxing,샌드박싱,외부 환경과 완벽히 격리된 독립된 가상 컴퓨터 환경 내에서 검증되지 않은 인공지능 모델이나 악성 위협 요소를 실행시켜 봄으로써 외부 메인 시스템에 가해질 보안 피해를 차단하는 기술적 기법이다.,ChatGPT_Gemini,pending,pending
POLICY-REF-0449,Policy,AI policy and governance,AI cybersecurity and resilience,Threat modelling,위협 모델링,"인공지능 시스템이 대면할 수 있는 잠재적인 사이버 공격, 프롬프트 주입 공격, 데이터 변조 취약점을 미리 구조적으로 가상 도출하여, 선제적인 방어 벽을 설계하는 보안 엔지니어링 절차이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0469,Policy,AI policy and governance,AI cybersecurity and resilience,Weaponized AI,무기화된 인공지능,"드론, 미사일 제어, 사이버 공격 툴에 인공지능 기술을 결합하여, 인간의 실시간 개입 없이 스스로 표적을 식별하고 타격 능력을 수행하도록 고안된 극단적인 군사 기술 형태이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0475,Policy,AI policy and governance,AI cybersecurity and resilience,Zero-trust architecture in AI,인공지능 제로 트러스트 아키텍처,"외부 시스템은 물론 내부 모듈 간의 데이터 교환에 있어서도 절대 사전에 신뢰하지 않고, 모든 접근 요청과 데이터 파이프라인의 적법성을 매번 철저히 인증 및 검증하는 최고 수준의 보안 프레임워크이다.",ChatGPT_Gemini,pending,pending
POLICY-REF-0010,Policy,AI policy and governance,"AI economy, labor, and industrial policy",AI arms race,,군사·전략적 우위를 위한 AI 개발 경쟁.,Claude,pending,pending
POLICY-REF-0021,Policy,AI policy and governance,"AI economy, labor, and industrial policy",AI for public services,,공공서비스에 AI를 적용하는 정책.,Claude,pending,pending
POLICY-REF-0026,Policy,AI policy and governance,"AI economy, labor, and industrial policy",AI investment,,AI 연구·인프라·인력에 대한 투자.,Claude,pending,pending
POLICY-REF-0006,Policy,AI policy and governance,"AI economy, labor, and industrial policy",administrative use of AI,,행정에서의 AI 활용.,Claude,pending,pending
POLICY-REF-0061,Policy,AI policy and governance,"AI economy, labor, and industrial policy",automation,,인간 노동을 기계·소프트웨어로 대체하는 과정.,Claude,pending,pending
POLICY-REF-0090,Policy,AI policy and governance,"AI economy, labor, and industrial policy",competition policy,,시장의 공정 경쟁을 보장하는 정책.,Claude,pending,pending
POLICY-REF-0094,Policy,AI policy and governance,"AI economy, labor, and industrial policy",compute access,,연산 자원에 대한 접근성.,Claude,pending,pending
POLICY-REF-0142,Policy,AI policy and governance,"AI economy, labor, and industrial policy",digital divide,,기술 접근·활용 격차.,ChatGPT_Gemini; Claude,pending,pending
POLICY-REF-0146,Policy,AI policy and governance,"AI economy, labor, and industrial policy",digital literacy,,디지털·AI를 이해하고 활용하는 시민 역량.,Claude,pending,pending
POLICY-REF-0166,Policy,AI policy and governance,"AI economy, labor, and industrial policy",economic competitiveness,,AI를 통한 국가·기업의 경제적 경쟁력.,ChatGPT_Gemini; Claude,pending,pending
POLICY-REF-0174,Policy,AI policy and governance,"AI economy, labor, and industrial policy",environmental impact of AI,,AI의 에너지·자원 소비가 환경에 미치는 영향.,Claude,pending,pending
POLICY-REF-0218,Policy,AI policy and governance,"AI economy, labor, and industrial policy",future of work,,AI 시대 노동의 변화에 관한 정책 의제.,ChatGPT_Gemini; Claude,pending,pending
POLICY-REF-0261,Policy,AI policy and governance,"AI economy, labor, and industrial policy",industrial policy,,특정 산업 육성을 위한 국가 전략.,Claude,pending,pending
POLICY-REF-0265,Policy,AI policy and governance,"AI economy, labor, and industrial policy",innovation policy,,혁신을 촉진하기 위한 정책.,Claude,pending,pending
POLICY-REF-0281,Policy,AI policy and governance,"AI economy, labor, and industrial policy",job displacement,,자동화로 인한 일자리 대체.,ChatGPT_Gemini; Claude,pending,pending
POLICY-REF-0282,Policy,AI policy and governance,"AI economy, labor, and industrial policy",labor market disruption,,AI가 초래하는 노동시장 구조 변화.,Claude,pending,pending
POLICY-REF-0297,Policy,AI policy and governance,"AI economy, labor, and industrial policy",market concentration,,소수 기업으로 시장 지배력이 집중되는 현상.,Claude,pending,pending
POLICY-REF-0339,Policy,AI policy and governance,"AI economy, labor, and industrial policy",procurement policy,,공공조달을 통한 AI 도입·규율 정책.,Claude,pending,pending
POLICY-REF-0342,Policy,AI policy and governance,"AI economy, labor, and industrial policy",productivity growth,,AI 도입에 따른 생산성 향상.,Claude,pending,pending
POLICY-REF-0368,Policy,AI policy and governance,"AI economy, labor, and industrial policy",reskilling and upskilling,,노동자 재교육·역량 강화.,ChatGPT_Gemini; Claude,pending,pending
POLICY-REF-0398,Policy,AI policy and governance,"AI economy, labor, and industrial policy",semiconductor supply chain,,AI 핵심 자원인 반도체의 공급망.,Claude,pending,pending
POLICY-REF-0405,Policy,AI policy and governance,"AI economy, labor, and industrial policy",social scoring,,개인을 점수화·등급화하는 사회적 평가 시스템.,Claude,pending,pending
POLICY-REF-0426,Policy,AI policy and governance,"AI economy, labor, and industrial policy",sustainability and AI,,AI를 지속가능성 목표와 연계하는 정책.,Claude,pending,pending
POLICY-REF-0437,Policy,AI policy and governance,"AI economy, labor, and industrial policy",techno-nationalism,,기술 우위를 국가 안보·경쟁력의 핵심으로 보는 정책 기조.,Claude,pending,pending
POLICY-REF-0443,Policy,AI policy and governance,"AI economy, labor, and industrial policy",technology transfer,,국가·기업 간 기술 이전.,Claude,pending,pending
POLICY-REF-0474,Policy,AI policy and governance,"AI economy, labor, and industrial policy",workforce transition,,노동력의 직무 전환을 지원하는 정책.,Claude,pending,pending
POLICY-REF-0009,Policy,AI policy and governance,AI ethics and human-centered governance,AI and the public interest,,AI가 공익에 부합하도록 하는 지향.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0018,Policy,AI policy and governance,AI ethics and human-centered governance,AI ethics,,AI의 개발·사용에 관한 도덕적 원칙과 가치를 다루는 영역.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0045,Policy,AI policy and governance,AI ethics and human-centered governance,algorithmic impact assessment,,알고리즘의 사회적 영향을 평가하는 절차.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0058,Policy,AI policy and governance,AI ethics and human-centered governance,automated decision-making,,인간 개입 없이 자동으로 이루어지는 의사결정.,ChatGPT_Gemini; Claude,pending,researcher_intervened_review_v2
POLICY-REF-0067,Policy,AI policy and governance,AI ethics and human-centered governance,beneficence,,AI가 인간과 사회에 이로움을 주어야 한다는 원칙.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0138,Policy,AI policy and governance,AI ethics and human-centered governance,democratic oversight,,민주적 절차에 의한 AI 감독.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0151,Policy,AI policy and governance,AI ethics and human-centered governance,dignity and autonomy,,인간의 존엄과 자기결정권을 존중해야 한다는 가치.,Claude,pending,researcher_intervened_review_v2
POLICY-REF-0169,Policy,AI policy and governance,AI ethics and human-centered governance,election integrity,,AI 영향으로부터 선거의 공정성을 보호하는 문제.,Claude,pending,researcher_intervened_review_v2
