l3_id,l0,l1,l2,l3,definition,all_mass,all_docs,korea_mass,korea_docs
POLICY-REF-0385,Policy,AI policy and governance,AI cybersecurity and resilience,Safe-by-Design,"사후 보완적 패치 방식을 탈피하고, 아키텍처의 설계 초기 단계부터 오작동 방지 가드레일과 안전성 검증 메커니즘을 하드웨어 및 소프트웨어 내부에 고정하여 개발하는 공학적 접근법이다.",0.7827198484669762,4,0.0,0
POLICY-REF-0090,Policy,AI policy and governance,"AI economy, labor, and industrial policy",competition policy,시장의 공정 경쟁을 보장하는 정책.,1.7728859442333649,9,0.0,0
POLICY-REF-0261,Policy,AI policy and governance,"AI economy, labor, and industrial policy",industrial policy,특정 산업 육성을 위한 국가 전략.,0.800383807102348,4,0.0,0
POLICY-REF-0297,Policy,AI policy and governance,"AI economy, labor, and industrial policy",market concentration,소수 기업으로 시장 지배력이 집중되는 현상.,2.0,2,0.0,0
POLICY-REF-0437,Policy,AI policy and governance,"AI economy, labor, and industrial policy",techno-nationalism,기술 우위를 국가 안보·경쟁력의 핵심으로 보는 정책 기조.,1.9330774707968117,10,0.0,0
POLICY-REF-0443,Policy,AI policy and governance,"AI economy, labor, and industrial policy",technology transfer,국가·기업 간 기술 이전.,0.7896889573139974,4,0.0,0
POLICY-REF-0067,Policy,AI policy and governance,AI ethics and human-centered governance,beneficence,AI가 인간과 사회에 이로움을 주어야 한다는 원칙.,0.1971466678949694,1,0.0,0
POLICY-REF-0138,Policy,AI policy and governance,AI ethics and human-centered governance,democratic oversight,민주적 절차에 의한 AI 감독.,4.334814055193997,22,0.0,0
POLICY-REF-0185,Policy,AI policy and governance,AI ethics and human-centered governance,ethical impact assessment,시스템의 윤리적 영향을 사전 평가하는 절차.,1.4542062892086172,3,0.0,0
POLICY-REF-0072,Policy,AI policy and governance,AI safety and risk management,capability evaluation,모델이 보유한 능력의 범위·한계를 측정하는 평가.,0.3876810564946581,2,0.0,0
POLICY-REF-0076,Policy,AI policy and governance,AI safety and risk management,catastrophic risk,광범위하고 회복 불가능한 대규모 피해를 초래하는 위험.,0.3969647235817801,2,0.0,0
POLICY-REF-0195,Policy,AI policy and governance,AI safety and risk management,existential risk,인류의 존속 자체를 위협할 수 있는 극단적 위험.,0.4069330598192444,2,0.0,0
POLICY-REF-0378,Policy,AI policy and governance,AI safety and risk management,risk assessment,위험의 발생 가능성과 영향을 체계적으로 식별·평가하는 절차.,0.2028262591450352,1,0.0,0
POLICY-REF-0380,Policy,AI policy and governance,AI safety and risk management,risk mitigation,식별된 위험을 줄이거나 통제하기 위한 조치.,0.394007600793047,2,0.0,0
POLICY-REF-0381,Policy,AI policy and governance,AI safety and risk management,risk tiering,위험 수준에 따라 시스템을 등급화하는 분류 체계.,0.1992544852709329,1,0.0,0
POLICY-REF-0382,Policy,AI policy and governance,AI safety and risk management,robustness testing,다양한 조건·교란에서 시스템 안정성을 검증하는 시험.,0.4080472645598303,2,0.0,0
POLICY-REF-0433,Policy,AI policy and governance,AI safety and risk management,systemic risk,개별 시스템을 넘어 사회·경제 전반에 파급되는 구조적 위험.,0.7834559852595346,4,0.0,0
POLICY-REF-0073,Policy,AI policy and governance,AI security and critical infrastructure,Capability thresholds,"정책문서에서 '역량 임계값' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.8080255456587669,4,0.0,0
POLICY-REF-0108,Policy,AI policy and governance,AI security and critical infrastructure,Cyber resilience,"정책문서에서 '사이버 복원력' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",2.502728111899034,12,0.0,0
POLICY-REF-0111,Policy,AI policy and governance,AI security and critical infrastructure,Cybersecurity by design,"정책문서에서 '설계단계 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",2.5986581393763357,10,0.0,0
POLICY-REF-0114,Policy,AI policy and governance,AI security and critical infrastructure,Data access governance,"정책문서에서 '데이터 접근 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",6.631712949311873,24,0.0,0
POLICY-REF-0173,Policy,AI policy and governance,AI security and critical infrastructure,Environmental impact assessment,"정책문서에서 '환경영향평가' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.9030797418050752,3,0.0,0
POLICY-REF-0175,Policy,AI policy and governance,AI security and critical infrastructure,Environmental sustainability,"정책문서에서 '환경 지속가능성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",6.443512037297432,9,0.0,0
POLICY-REF-0190,Policy,AI policy and governance,AI security and critical infrastructure,Evaluation benchmarks,"정책문서에서 '평가 벤치마크' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3887720516998157,2,0.0,0
POLICY-REF-0210,Policy,AI policy and governance,AI security and critical infrastructure,Foundation model governance,"정책문서에서 '파운데이션 모델 거버넌스' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.5260270542114693,2,0.0,0
POLICY-REF-0367,Policy,AI policy and governance,AI security and critical infrastructure,Research security,"정책문서에서 '연구 보안' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",4.220552246783559,10,0.0,0
POLICY-REF-0083,Policy,AI policy and governance,"AI, rights, and biometrics",Civil rights safeguards,"정책문서에서 '시민권 보호장치' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.3894406224078419,2,0.0,0
POLICY-REF-0115,Policy,AI policy and governance,"AI, rights, and biometrics",Data altruism,"정책문서에서 '데이터 이타주의' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.1955194937529533,1,0.0,0
POLICY-REF-0136,Policy,AI policy and governance,"AI, rights, and biometrics",Democratic accountability,"정책문서에서 '민주적 책임성' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4923671906531532,1,0.0,0
POLICY-REF-0148,Policy,AI policy and governance,"AI, rights, and biometrics",Digital rights,"정책문서에서 '디지털 권리' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",3.34216423142784,13,0.0,0
POLICY-REF-0158,Policy,AI policy and governance,"AI, rights, and biometrics",Diversity and inclusion,"정책문서에서 '다양성과 포용' 관련 조항, 원칙, 평가기준 또는 제도적 요구사항을 식별하기 위한 핵심 구문이다.",0.4010274622238443,2,0.0,0
