risk_id,l1,l2,l3,l4_label,match_rank_for_policy,similarity,document_id,year,period,title,title_clean,issuing_institution,doc_type_source_label,publication_source,subject_classification,url,pdf_url,source_quote,source_quote_type,policy_reference,korean_policy_definition
AGENTBENCH-REF-0022,Agentic and multi-agent system failures,Harmful action execution,"Fraud, cybercrime, and illegal assistance",Criminal assistance by agents,5,0.5762570517314993,policy_nl_trend|SH2_PLC20160150829,2016,2012-2016,형사법의 신동향 통권 제51호 7. 인공지능 이용 범죄예측 기법과 불심검문 등에의적용에 관한 고찰(양종모),형사법의 신동향 통권 제51호 7. 인공지능 이용 범죄예측 기법과 불심검문 등에의적용에 관한 고찰(양종모),대검찰청,보고서,,공공질서및안전 > 법무및검찰,,,형사법의 신동향 통권 제51호 7. 인공지능 이용 범죄예측 기법과 불심검문 등에의적용에 관한 고찰(양종모),official_title,"대검찰청 (2016), 「형사법의 신동향 통권 제51호 7. 인공지능 이용 범죄예측 기법과 불심검문 등에의적용에 관한 고찰(양종모)」","한국 정책보고서에서는 이 위험을 “형사법의 신동향 통권 제51호 7. 인공지능 이용 범죄예측 기법과 불심검문 등에의적용에 관한 고찰(양종모)”라는 문맥에서 다룬다. 본 연구는 이를 자율 에이전트, 도구 사용, 계획, 위임 또는 다중 에이전트 조정 실패와 관련해 한국 정책 문헌에서 관찰되는 'Criminal assistance by agents' 위험으로 정의한다."
GOVRISK-REF-0003,Governance and accountability failures,Accountability gaps,Legal and responsibility gaps,Distributed responsibility diffusion,5,0.5935058551239497,policy_nl_trend|SH2_PLC20250347551,2024,2022-2026,"인공지능 규제법, 책임법, 그리고 보험","인공지능 규제법, 책임법, 그리고 보험",한국법제연구원,보고서,"규제법제리뷰, 24-3","일반공공행정 > 법제, 과학기술 > 과학기술진흥",,,"인공지능 규제법, 책임법, 그리고 보험",official_title,"한국법제연구원 (2024), 「인공지능 규제법, 책임법, 그리고 보험」","한국 정책보고서에서는 이 위험을 “인공지능 규제법, 책임법, 그리고 보험”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Distributed responsibility diffusion' 위험으로 정의한다."
GOVRISK-REF-0010,Governance and accountability failures,Accountability gaps,Redress and contestability failures,Automated decision due-process failure,4,0.5618692569167647,policy_nl_trend|SH2_PLC20260363590,2025,2022-2026,인공지능을 활용한 자체감사사례 자동분류 방안 연구,인공지능을 활용한 자체감사사례 자동분류 방안 연구,감사연구원,보고서,"연구보고서, 2025-025",일반공공행정 > 일반행정,,,인공지능을 활용한 자체감사사례 자동분류 방안 연구,official_title,"감사연구원 (2025), 「인공지능을 활용한 자체감사사례 자동분류 방안 연구」","한국 정책보고서에서는 이 위험을 “인공지능을 활용한 자체감사사례 자동분류 방안 연구”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Automated decision due-process failure' 위험으로 정의한다."
GOVRISK-REF-0023,Governance and accountability failures,Incident and lifecycle governance failures,Incident reporting and response failures,AI incident underreporting,4,0.5897540825562841,policy_nl_ai_search_storage|UH1_00000139400740,2021,2017-2021,경험기반(빅데이터) 알고리즘의 재난 대응 AI advisor 플랫폼 기술개발 최종보고서 : 인공 지능 융합 선도 프로젝트 사업 제2차 연도 2년차 보고서 = AI advisor platform for disaster reponse using empirical algorithm,경험기반(빅데이터) 알고리즘의 재난 대응 AI advisor 플랫폼 기술개발 최종보고서 : 인공 지능 융합 선도 프로젝트 사업 제2차 연도 2년차 보고서,"과학기술정보통신부, 20210215 [대전] : 정보통신기획평가원",정책보고서,,통신 > 방송통신,,,경험기반(빅데이터) 알고리즘의 재난 대응 AI advisor 플랫폼 기술개발 최종보고서 : 인공 지능 융합 선도 프로젝트 사업 제2차 연도 2년차 보고서,official_title,"과학기술정보통신부, 20210215 [대전] : 정보통신기획평가원 (2021), 「경험기반(빅데이터) 알고리즘의 재난 대응 AI advisor 플랫폼 기술개발 최종보고서 : 인공 지능 융합 선도 프로젝트 사업 제2차 연도 2년차 보고서」","한국 정책보고서에서는 이 위험을 “경험기반(빅데이터) 알고리즘의 재난 대응 AI advisor 플랫폼 기술개발 최종보고서 : 인공 지능 융합 선도 프로젝트 사업 제2차 연도 2년차 보고서”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'AI incident underreporting' 위험으로 정의한다."
GOVRISK-REF-0023,Governance and accountability failures,Incident and lifecycle governance failures,Incident reporting and response failures,AI incident underreporting,4,0.5759664168307418,policy_nl_ai_search_storage|UH1_00000141564351,2024,2022-2026,대통령기록관리 AI 도입 방안 정책 연구 : 결과보고서,대통령기록관리 AI 도입 방안 정책 연구 : 결과보고서,행정안전부 대통령기록관,정책보고서,,,,,대통령기록관리 AI 도입 방안 정책 연구 : 결과보고서,official_title,"행정안전부 대통령기록관 (2024), 「대통령기록관리 AI 도입 방안 정책 연구 : 결과보고서」","한국 정책보고서에서는 이 위험을 “대통령기록관리 AI 도입 방안 정책 연구 : 결과보고서”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'AI incident underreporting' 위험으로 정의한다."
GOVRISK-REF-0042,Governance and accountability failures,Regulatory and institutional capacity failures,Regulatory design failures,Regulatory capture in AI governance,1,0.6032744643444214,policy_nl_trend|SH2_PLC20260363507,2025,2022-2026,AI 데이터 생태계 혁신을 위한 규체체계 혁신 방안,AI 데이터 생태계 혁신을 위한 규체체계 혁신 방안,국회미래연구원,보고서,"연구보고서, 25-27호",과학기술 > 과학기술진흥,,,AI 데이터 생태계 혁신을 위한 규체체계 혁신 방안,official_title,"국회미래연구원 (2025), 「AI 데이터 생태계 혁신을 위한 규체체계 혁신 방안」","한국 정책보고서에서는 이 위험을 “AI 데이터 생태계 혁신을 위한 규체체계 혁신 방안”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Regulatory capture in AI governance' 위험으로 정의한다."
GOVRISK-REF-0042,Governance and accountability failures,Regulatory and institutional capacity failures,Regulatory design failures,Regulatory capture in AI governance,5,0.5945922126618819,policy_nl_trend|SH2_PLC20210275966,2021,2017-2021,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,정보통신정책연구원,정책자료,"KISDI AI TREND WATCH, 2021-19호",과학기술 > 과학기술진흥,,,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,official_title,"정보통신정책연구원 (2021), 「미국 연방기관의 인공지능 책임성 프레임워크 주요 내용」","한국 정책보고서에서는 이 위험을 “미국 연방기관의 인공지능 책임성 프레임워크 주요 내용”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Regulatory capture in AI governance' 위험으로 정의한다."
GOVRISK-REF-0042,Governance and accountability failures,Regulatory and institutional capacity failures,Regulatory design failures,Regulatory capture in AI governance,4,0.5863824338122958,policy_nl_trend|SH2_PLC20230316053,2022,2022-2026,인텔리전트 규제 : 인공지능을 활용한 산재보험 검증 사례를 중심으로,인텔리전트 규제 : 인공지능을 활용한 산재보험 검증 사례를 중심으로,한국행정연구원,정책자료,"한국행정연구, 31권 4호",과학기술 > 과학기술연구,,,인텔리전트 규제 : 인공지능을 활용한 산재보험 검증 사례를 중심으로,official_title,"한국행정연구원 (2022), 「인텔리전트 규제 : 인공지능을 활용한 산재보험 검증 사례를 중심으로」","한국 정책보고서에서는 이 위험을 “인텔리전트 규제 : 인공지능을 활용한 산재보험 검증 사례를 중심으로”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Regulatory capture in AI governance' 위험으로 정의한다."
GOVRISK-REF-0053,Governance and accountability failures,Organizational governance failures,Organizational accountability failures,Policy-practice decoupling,5,0.5759513164913195,policy_nl_ai_search_storage|UH1_00000111105581,2009,2007-2011,지능형 로봇 기본계획 후속조치를 위한 정책연구 = A policy study for the follow-up action planning of the intelligent robot master plan,지능형 로봇 기본계획 후속조치를 위한 정책연구,지식경제부,정책보고서,,,,,지능형 로봇 기본계획 후속조치를 위한 정책연구,official_title,"지식경제부 (2009), 「지능형 로봇 기본계획 후속조치를 위한 정책연구」","한국 정책보고서에서는 이 위험을 “지능형 로봇 기본계획 후속조치를 위한 정책연구”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Policy-practice decoupling' 위험으로 정의한다."
GOVRISK-REF-0058,Governance and accountability failures,Organizational governance failures,Procurement and vendor governance failures,AI supply-chain accountability gap,3,0.6444917762907978,policy_nl_trend|SH2_PLC20240325905,2024,2022-2026,주요국의 AI 규제동향 및 시사점 : 생성형 AI 서비스 제공자의 책임을 중심으로,주요국의 AI 규제동향 및 시사점 : 생성형 AI 서비스 제공자의 책임을 중심으로,(재)한국지식재산연구원,보고서,"IP Focus, 제2024-06호",산업·통상·중소기업 > 산업진흥·고도화,,,주요국의 AI 규제동향 및 시사점 : 생성형 AI 서비스 제공자의 책임을 중심으로,official_title,"(재)한국지식재산연구원 (2024), 「주요국의 AI 규제동향 및 시사점 : 생성형 AI 서비스 제공자의 책임을 중심으로」","한국 정책보고서에서는 이 위험을 “주요국의 AI 규제동향 및 시사점 : 생성형 AI 서비스 제공자의 책임을 중심으로”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'AI supply-chain accountability gap' 위험으로 정의한다."
GOVRISK-REF-0058,Governance and accountability failures,Organizational governance failures,Procurement and vendor governance failures,AI supply-chain accountability gap,3,0.6419782992146569,policy_nl_ai_search_storage|SH2_PLC20240325905,2024,2022-2026,주요국의 AI 규제동향 및 시사점 : 생성 형 AI 서비스 제공자의 책임을 중심으로,주요국의 AI 규제동향 및 시사점 : 생성 형 AI 서비스 제공자의 책임을 중심으로,(재)한국지식재산연구원,정책보고서,"IP Focus, 제2024-06호",산업·통상·중소기업 > 산업진흥·고도화,,,주요국의 AI 규제동향 및 시사점 : 생성 형 AI 서비스 제공자의 책임을 중심으로,official_title,"(재)한국지식재산연구원 (2024), 「주요국의 AI 규제동향 및 시사점 : 생성 형 AI 서비스 제공자의 책임을 중심으로」","한국 정책보고서에서는 이 위험을 “주요국의 AI 규제동향 및 시사점 : 생성 형 AI 서비스 제공자의 책임을 중심으로”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'AI supply-chain accountability gap' 위험으로 정의한다."
GOVRISK-REF-0061,Governance and accountability failures,Frontier and general-purpose AI governance failures,General-purpose model accountability failures,General-purpose AI downstream opacity,4,0.6104332070128738,policy_nl_trend|SH2_PLC20250351515,2024,2022-2026,설명가능한 인공지능(XAI)의 공공분야 활용을 위한 정책 방향,설명가능한 인공지능(XAI)의 공공분야 활용을 위한 정책 방향,한국행정연구원,정책자료,"KIPA ISSUE PAPER, 142",과학기술 > 과학기술연구,,,설명가능한 인공지능(XAI)의 공공분야 활용을 위한 정책 방향,official_title,"한국행정연구원 (2024), 「설명가능한 인공지능(XAI)의 공공분야 활용을 위한 정책 방향」","한국 정책보고서에서는 이 위험을 “설명가능한 인공지능(XAI)의 공공분야 활용을 위한 정책 방향”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'General-purpose AI downstream opacity' 위험으로 정의한다."
GOVRISK-REF-0061,Governance and accountability failures,Frontier and general-purpose AI governance failures,General-purpose model accountability failures,General-purpose AI downstream opacity,3,0.5624298908893405,policy_nl_trend|SH2_PLC20260365149,2026,2022-2026,내검 분야의 AI 활용 기초연구 : 해외 사례 중심으로,내검 분야의 AI 활용 기초연구 : 해외 사례 중심으로,국가데이터연구원,보고서,"연구보고서, 2025-04",일반공공행정 > 국가통계,,,내검 분야의 AI 활용 기초연구 : 해외 사례 중심으로,official_title,"국가데이터연구원 (2026), 「내검 분야의 AI 활용 기초연구 : 해외 사례 중심으로」","한국 정책보고서에서는 이 위험을 “내검 분야의 AI 활용 기초연구 : 해외 사례 중심으로”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'General-purpose AI downstream opacity' 위험으로 정의한다."
GOVRISK-REF-0064,Governance and accountability failures,Frontier and general-purpose AI governance failures,General-purpose model accountability failures,Compute governance accountability gap,1,0.6103017242936973,policy_nl_trend|SH2_PLC20210275966,2021,2017-2021,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,정보통신정책연구원,정책자료,"KISDI AI TREND WATCH, 2021-19호",과학기술 > 과학기술진흥,,,미국 연방기관의 인공지능 책임성 프레임워크 주요 내용,official_title,"정보통신정책연구원 (2021), 「미국 연방기관의 인공지능 책임성 프레임워크 주요 내용」","한국 정책보고서에서는 이 위험을 “미국 연방기관의 인공지능 책임성 프레임워크 주요 내용”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Compute governance accountability gap' 위험으로 정의한다."
GOVRISK-REF-0064,Governance and accountability failures,Frontier and general-purpose AI governance failures,General-purpose model accountability failures,Compute governance accountability gap,4,0.6035198387215833,policy_nl_trend|SH2_PLC20170214257,2017,2017-2021,국외출장보고서 : 인공지능 기술 확산에 따른 위험 거버넌스 연구,국외출장보고서 : 인공지능 기술 확산에 따른 위험 거버넌스 연구,한국행정연구원,보고서,,산업·통상·중소기업 > 산업진흥·고도화,,,국외출장보고서 : 인공지능 기술 확산에 따른 위험 거버넌스 연구,official_title,"한국행정연구원 (2017), 「국외출장보고서 : 인공지능 기술 확산에 따른 위험 거버넌스 연구」","한국 정책보고서에서는 이 위험을 “국외출장보고서 : 인공지능 기술 확산에 따른 위험 거버넌스 연구”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Compute governance accountability gap' 위험으로 정의한다."
GOVRISK-REF-0064,Governance and accountability failures,Frontier and general-purpose AI governance failures,General-purpose model accountability failures,Compute governance accountability gap,4,0.5990604010733588,policy_nl_trend|SH2_PLC20250347551,2024,2022-2026,"인공지능 규제법, 책임법, 그리고 보험","인공지능 규제법, 책임법, 그리고 보험",한국법제연구원,보고서,"규제법제리뷰, 24-3","일반공공행정 > 법제, 과학기술 > 과학기술진흥",,,"인공지능 규제법, 책임법, 그리고 보험",official_title,"한국법제연구원 (2024), 「인공지능 규제법, 책임법, 그리고 보험」","한국 정책보고서에서는 이 위험을 “인공지능 규제법, 책임법, 그리고 보험”라는 문맥에서 다룬다. 본 연구는 이를 거버넌스, 책임성, 감사, 문서화 또는 제도적 통제 실패와 관련해 한국 정책 문헌에서 관찰되는 'Compute governance accountability gap' 위험으로 정의한다."
