id,kind,l0,l1,l2,l3,l4_label,phrase,definition,source,scope,x,y,risk_color,evidence_status,evidence_title,evidence_url,evidence_type,risk_severity_1to5,risk_probability_proxy_0to1,risk_impact_score,risk_impact_percentile,risk_visual_radius
RISK-REF-0001,risk,Risk,Discrimination and toxic content,Allocative and representational harms,Discriminatory allocation,Algorithmic discrimination,algorithmic discrimination,"AI systems may distribute opportunities, services, or resources unequally across protected or vulnerable groups.",MIT AI Risk Repository; NIST AI RMF; CSET AI Harm Taxonomy,global,0.358229,2.892791,#b84d8b,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0002,risk,Risk,Discrimination and toxic content,Allocative and representational harms,Disparate impact,Disparate impact,disparate impact,AI decisions can impose systematically worse outcomes on a group even without explicit discriminatory intent.,MIT AI Risk Repository; NIST AI RMF,global-local,-0.001713,2.364428,#b84d8b,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0003,risk,Risk,Discrimination and toxic content,Allocative and representational harms,Representational stereotyping,Representational stereotyping,representational stereotyping,"Model outputs may reproduce stereotypes, demeaning associations, or asymmetric representation of social groups.",MIT AI Risk Repository; Microsoft Value Compass,global-local,0.916693,2.664413,#b84d8b,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0004,risk,Risk,Discrimination and toxic content,Toxic and abusive content,Hate speech generation,Hate speech generation,hate speech generation,Generative systems can produce hateful or abusive content targeting identity groups.,MIT AI Risk Repository; OWASP LLM Top 10,global,5.376789,-0.202326,#b84d8b,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0005,risk,Risk,Discrimination and toxic content,Toxic and abusive content,Harassment amplification,Harassment amplification,harassment amplification,"AI tools may scale targeted harassment, abuse, or coordinated intimidation.",AI Incident Database; MIT AI Incident Tracker,global-local,0.255318,2.886493,#b84d8b,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0006,risk,Risk,Discrimination and toxic content,Sensitive-context harms,Medical advice harm,Unsafe medical advice,unsafe medical advice,AI systems may provide inaccurate or inappropriate medical guidance in high-stakes settings.,MIT AI Risk Repository; NIST GenAI Profile,global-local,3.239969,-0.222131,#b84d8b,framework-derived initial node,NIST AI 600-1: Artificial Intelligence Risk Management Framework: Generative AI Profile,https://doi.org/10.6028/NIST.AI.600-1,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0007,risk,Risk,Discrimination and toxic content,Sensitive-context harms,Educational inequity,Educational inequity,educational inequity,AI-mediated learning and assessment may widen educational inequality through unequal access or biased evaluation.,MIT AI Risk Repository; Microsoft Value Compass,global-local,0.342045,2.689901,#b84d8b,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0008,risk,Risk,Discrimination and toxic content,Sensitive-context harms,Language exclusion,Low-resource language exclusion,low-resource language exclusion,"AI systems may underperform for local, low-resource, or minority languages and exclude affected users.",Microsoft Value Compass; MIT AI Risk Repository,local,2.830584,1.091862,#b84d8b,framework-derived initial node,Microsoft Research Value Compass,https://www.microsoft.com/en-us/research/project/value-compass/,source,1.7897,0.723185,1.2943,0.4243277048155097,11.266580762525582
RISK-REF-0009,risk,Risk,Privacy and security harms,Privacy leakage,Training data memorization,Training data memorization,training data memorization,"Models may memorize and regurgitate personal, proprietary, or sensitive training data.",MIT AI Risk Repository; NIST GenAI Profile; OWASP LLM Top 10,global,-0.277165,1.594207,#5a67c8,framework-derived initial node,Extracting Training Data from Large Language Models,https://arxiv.org/abs/2012.07805,paper,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0010,risk,Risk,Privacy and security harms,Privacy leakage,Personal data inference,Personal data inference,personal data inference,Model behavior may enable inference of sensitive personal attributes not intentionally disclosed.,MIT AI Risk Repository; NIST AI RMF,global-local,1.039368,1.831108,#5a67c8,framework-derived initial node,NIST AI Risk Management Framework,https://www.nist.gov/itl/ai-risk-management-framework,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0011,risk,Risk,Privacy and security harms,Privacy leakage,Biometric privacy intrusion,Biometric privacy intrusion,biometric privacy intrusion,"Face, voice, gait, or other biometric AI systems can enable intrusive identification and tracking.",MIT AI Risk Repository; EU AI Act; AI Incident Database,global-local,-2.041523,1.309549,#5a67c8,framework-derived initial node,AI Incident Database,https://incidentdatabase.ai/,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0012,risk,Risk,Privacy and security harms,Cyber vulnerability,Prompt injection,Prompt injection,prompt injection,Untrusted inputs can manipulate language-model instructions and override intended system behavior.,OWASP LLM Top 10; AVID; Microsoft Agent Failure Taxonomy,global,2.898223,0.926528,#5a67c8,framework-derived initial node,Prompt Injection Attacks against GPT-Integrated Applications,https://arxiv.org/abs/2302.12173,paper,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
RISK-REF-0013,risk,Risk,Privacy and security harms,Cyber vulnerability,Data poisoning,Data poisoning,data poisoning,"Attackers may manipulate training, fine-tuning, or retrieval data to alter model behavior.",MITRE ATLAS; AVID; OWASP LLM Top 10,global,-0.572549,0.923378,#5a67c8,framework-derived initial node,OWASP Top 10 for Large Language Model Applications,https://owasp.org/www-project-top-10-for-large-language-model-applications/,source,1.6553,0.574428,0.9509,0.300187617260788,8.923974835139846
